Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Bayside,1:00pm - 2:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Other,,Playground,15,W,W,M,2,P,A15616853BZD,2024-2025,2Q,2
Shermer High School,8:00am - 9:00am,03/06/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,B,M,10,F,A12761942BZD,2023-2024,4Q,1
Shermer High School,11:00am - 12:00pm,03/19/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,B,M,10,F,A12761942BZD,2023-2024,4Q,3
Shermer High School,12:00pm - 1:00pm,03/25/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,W,B,M,10,F,A12761942BZD,2023-2024,4Q,4
Springfield Elementary,11:00am - 12:00pm,04/11/2024,Minor Violation (5 times in the same quarter),Other,,Gym,17,W,W,F,1,F,A15236672BZD,2023-2024,4Q,1
Bayside,8:00am - 9:00am,08/23/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,1Q,1
Shermer High School,1:00pm - 2:00pm,08/23/2024,Major Violation,,Leaving class/school without permission,Classroom,105,W,B,M,11,F,A12761942BZD,2024-2025,1Q,0
Shermer High School,8:00am - 9:00am,08/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,W,B,M,11,F,A12761942BZD,2024-2025,1Q,1
Bayside,8:00am - 9:00am,08/29/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,15,W,W,M,4,F,A15142076BZD,2024-2025,1Q,1
Bayside,2:00pm -3:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Other,,Gym,15,W,W,M,4,F,A15142076BZD,2024-2025,1Q,2
Bayside,1:00pm - 2:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,1Q,2
Bayside,2:00pm -3:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,1Q,3
Bayside,1:00pm - 2:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A14011100BZD,2024-2025,1Q,4
Shermer High School,9:00am - 10:00am,09/24/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,W,B,M,11,F,A12761942BZD,2024-2025,1Q,2
Bayside,12:00pm - 1:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15142076BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,10/28/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,P,A14011100BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,F,A15142076BZD,2024-2025,2Q,2
Bayside,12:00pm - 1:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,P,A14011100BZD,2024-2025,2Q,2
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,2Q,3
Bayside,2:00pm -3:00pm,12/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,2Q,3
Bayside,10:00am-11:00am,12/05/2024,Major Violation,,Exceeded minor maximum count,Classroom,15,W,W,M,4,P,A14011100BZD,2024-2025,2Q,3
Bayside,Before School,12/11/2024,Minor Violation (5 times in the same quarter),Disruption,,Lobby/Commons,15,W,W,M,4,F,A15142076BZD,2024-2025,2Q,3
Shermer High School,9:00am - 10:00am,01/24/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,B,"B,W",M,9,F,A13618430BZD,2024-2025,3Q,1
Bayside,10:00am-11:00am,01/24/2025,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15,B,B,M,2,F,A15945602BZD,2024-2025,3Q,1
Rydell High School,11:00am - 12:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,4,P,A14784137BZD,2024-2025,3Q,1
Shermer High School,After School,02/04/2025,Major Violation,,Continued Misconduct,Bus Area/Loading Area,105,B,"B,W",M,9,F,A13618430BZD,2024-2025,3Q,1
Bayside,1:00pm - 2:00pm,08/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,15,W,W,M,4,F,A14059727BZD,2024-2025,1Q,1
Bayside,12:00pm - 1:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,F,A14059727BZD,2024-2025,1Q,2
Bayside,1:00pm - 2:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A14059727BZD,2024-2025,1Q,3
Bayside,10:00am-11:00am,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,2,F,A15849914BZD,2024-2025,1Q,1
Springfield Elementary,11:00am - 12:00pm,09/26/2024,Major Violation,,Continued Misconduct,Classroom,17,W,W,M,0,F,A16450172BZD,2024-2025,1Q,0
Bayside,10:00am-11:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,F,2,P,A15849914BZD,2024-2025,1Q,2
Shermer High School,8:00am - 9:00am,03/06/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,H,"W,H",M,10,F,A12685229BZD,2023-2024,4Q,1
Shermer High School,8:00am - 9:00am,03/18/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,H,"W,H",M,10,F,A12685229BZD,2023-2024,4Q,2
Shermer High School,12:00pm - 1:00pm,03/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,10,F,A12685229BZD,2023-2024,4Q,3
Shermer High School,11:00am - 12:00pm,04/08/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,10,F,A12685229BZD,2023-2024,4Q,4
Shermer High School,11:00am - 12:00pm,04/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,H,"W,H",M,10,F,A12685229BZD,2023-2024,4Q,5
Shermer High School,Before School,05/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Parking Lot,105,H,"W,H",M,12,F,A11696150BZD,2023-2024,4Q,1
Shermer High School,8:00am - 9:00am,08/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,1Q,1
Shermer High School,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,1Q,2
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,1Q,3
Shermer High School,10:00am-11:00am,09/19/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,11,F,A12685229BZD,2024-2025,1Q,4
