Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors
Bayside,10:00am-11:00am,09/20/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,15,W,W,M,2,F,A15597683BZD,2024-2025,1Q,1
Shermer High School,11:00am - 12:00pm,04/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,1
Shermer High School,10:00am-11:00am,05/02/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,1
Shermer High School,9:00am - 10:00am,05/16/2024,Major Violation,,Continued Misconduct,Classroom,105,H,"W,H",M,11,F,A11866121BZD,2023-2024,4Q,0
Bayside,11:00am - 12:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,P,P,F,2,F,A16174169BZD,2024-2025,1Q,1
Shermer High School,9:00am - 10:00am,03/04/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,1
Shermer High School,9:00am - 10:00am,03/08/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,2
Shermer High School,2:00pm -3:00pm,03/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,3
Shermer High School,9:00am - 10:00am,04/08/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,4
Shermer High School,8:00am - 9:00am,04/17/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,5
Shermer High School,1:00pm - 2:00pm,05/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,W,M,7,F,A13380425BZD,2023-2024,4Q,6
Bayside,11:00am - 12:00pm,12/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,3,F,A14933648BZD,2024-2025,2Q,1
Bayside,9:00am - 10:00am,12/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Assembly/Special Event/Field Trip,15,W,W,M,3,F,A14933648BZD,2024-2025,2Q,2
Rydell High School,Before School,09/11/2024,Minor Violation (5 times in the same quarter),Other,,Parking Lot,35,B,B,F,3,R,A15145367BZD,2024-2025,1Q,1
Springfield Elementary,11:00am - 12:00pm,04/30/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Lobby/Commons,17,W,W,M,0,F,A15857081BZD,2023-2024,4Q,1
Springfield Elementary,1:00pm - 2:00pm,05/14/2024,Major Violation,,Continued Misconduct,Gym,17,W,W,M,0,F,A15857081BZD,2023-2024,4Q,0
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,F,2,F,A15850814BZD,2024-2025,1Q,1
Springfield Elementary,10:00am-11:00am,05/13/2024,Major Violation,,Threats,Classroom,17,W,W,M,1,P,A15849920BZD,2023-2024,4Q,0
Springfield Elementary,10:00am-11:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,Bathroom,17,W,W,F,0,F,A16709399BZD,2024-2025,1Q,1
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,4,R,A14781935BZD,2024-2025,2Q,1
Bayside,1:00pm - 2:00pm,01/15/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,P,A15849920BZD,2024-2025,3Q,1
Shermer High School,10:00am-11:00am,04/11/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,105,W,W,M,8,F,A15597935BZD,2023-2024,4Q,1
Shermer High School,1:00pm - 2:00pm,05/16/2024,Major Violation,,"Threats,Bullying",Classroom,105,W,W,M,8,F,A13364417BZD,2023-2024,4Q,0
Shermer High School,12:00pm - 1:00pm,02/29/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,105,W,W,M,8,F,A13263347BZD,2023-2024,4Q,1
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Preparedness,,Classroom,15,W,W,F,3,F,A15283073BZD,2024-2025,1Q,1
Bayside,2:00pm -3:00pm,09/16/2024,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15,W,W,F,3,F,A15283073BZD,2024-2025,1Q,2
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,3,F,A15283073BZD,2024-2025,1Q,3
Shermer High School,10:00am-11:00am,08/26/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,W,W,M,11,F,A12481682BZD,2024-2025,1Q,1
Shermer High School,9:00am - 10:00am,08/26/2024,Major Violation,,Continued Misconduct,Classroom,105,W,W,M,11,F,A12481682BZD,2024-2025,1Q,1
Shermer High School,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,11,F,A12481682BZD,2024-2025,1Q,2
Shermer High School,10:00am-11:00am,09/10/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,W,W,M,11,F,A12481682BZD,2024-2025,1Q,3
Bayside,9:00am - 10:00am,09/12/2024,Major Violation,,"Continued Misconduct,Leaving class/school without permission",Gym,15,W,"B,W",M,2,F,A15130133BZD,2024-2025,1Q,0
Bayside,9:00am - 10:00am,11/13/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,"B,W",M,2,F,A15130133BZD,2024-2025,2Q,1
Springfield Elementary,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,17,W,W,F,1,F,A16350794BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,3,F,A16413998BZD,2024-2025,1Q,1
Hill Valley High School,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,Bathroom,5,W,W,M,0,P,A16817774BZD,2024-2025,1Q,1
Rydell High School,Unknown,09/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,3,F,A15144356BZD,2024-2025,1Q,1
Rydell High School,12:00pm - 1:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35,W,W,F,3,F,A15144356BZD,2024-2025,1Q,1
Rydell High School,8:00am - 9:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,3,F,A15144356BZD,2024-2025,1Q,2
Rydell High School,Unknown,11/15/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,35,W,W,F,3,F,A15144356BZD,2024-2025,2Q,1
Springfield Elementary,10:00am-11:00am,04/17/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17,H,"W,H",M,0,F,A16389965BZD,2023-2024,4Q,1
Rydell High School,12:00pm - 1:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,1Q,1
Rydell High School,11:00am - 12:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,1Q,2
Rydell High School,2:00pm -3:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,1Q,3
Rydell High School,12:00pm - 1:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,M,3,P,A14699717BZD,2024-2025,1Q,1
Rydell High School,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35,B,B,M,0,F,A16157912BZD,2024-2025,2Q,1
Rydell High School,10:00am-11:00am,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,2Q,2
Rydell High School,8:00am - 9:00am,01/31/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,3Q,1
Rydell High School,10:00am-11:00am,01/31/2025,Minor Violation (5 times in the same quarter),Other,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,3Q,2
Rydell High School,9:00am - 10:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35,B,B,M,0,F,A16157912BZD,2024-2025,3Q,3
Hill Valley High School,11:00am - 12:00pm,11/12/2024,Major Violation,,Bullying,Cafeteria,5,W,W,M,3,F,A14523605BZD,2024-2025,2Q,0
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,B,B,M,4,F,A14794355BZD,2024-2025,2Q,1
Bayside,10:00am-11:00am,12/10/2024,Major Violation,,Continued Misconduct,Media Center,15,B,B,M,4,F,A14794355BZD,2024-2025,2Q,1
Shermer High School,11:00am - 12:00pm,03/19/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,9,F,A15772601BZD,2023-2024,4Q,1
Shermer High School,9:00am - 10:00am,04/04/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,9,F,A15772601BZD,2023-2024,4Q,2
Shermer High School,11:00am - 12:00pm,04/17/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,9,F,A15772601BZD,2023-2024,4Q,3
Shermer High School,2:00pm -3:00pm,05/02/2024,Major Violation,,Continued Misconduct,Gym,105,W,W,M,9,F,A15772601BZD,2023-2024,4Q,3
Bayside,8:00am - 9:00am,11/06/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,2,F,A15470441BZD,2024-2025,2Q,1
Bayside,8:00am - 9:00am,12/04/2024,Minor Violation (5 times in the same quarter),Other,,Classroom,15,W,W,M,2,F,A15470441BZD,2024-2025,2Q,2
Shermer High School,9:00am - 10:00am,12/10/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,H,"W,H",M,10,F,A14884361BZD,2024-2025,2Q,1
Springfield Elementary,11:00am - 12:00pm,04/12/2024,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17,W,W,F,0,P,A16491524BZD,2023-2024,4Q,1
Rydell High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,Playground,35,W,W,F,1,F,A16001546BZD,2024-2025,2Q,1
Rydell High School,8:00am - 9:00am,11/04/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,35,W,W,M,0,F,A16812362BZD,2024-2025,2Q,1
Bayside,11:00am - 12:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,W,W,M,2,F,A15597974BZD,2024-2025,2Q,1
Hill Valley High School,11:00am - 12:00pm,08/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Cafeteria,5,W,W,M,3,P,A15236645BZD,2024-2025,1Q,1
Hill Valley High School,12:00pm - 1:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,5,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1
Hill Valley High School,12:00pm - 1:00pm,11/20/2024,Major Violation,,Fighting,Classroom,5,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1
Hill Valley High School,11:00am - 12:00pm,11/22/2024,Major Violation,,Fighting,Classroom,5,W,W,M,0,P,A16132085BZD,2024-2025,2Q,1
Rydell High School,12:00pm - 1:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,35,W,W,M,1,P,A15110879BZD,2024-2025,2Q,1
Hill Valley High School,2:00pm -3:00pm,12/02/2024,Minor Violation (5 times in the same quarter),Other,,Playground,5,W,W,M,3,F,A15185672BZD,2024-2025,2Q,1
Springfield Elementary,9:00am - 10:00am,09/17/2024,Minor Violation (5 times in the same quarter),Other,,Playground,17,W,W,M,0,F,A16030904BZD,2024-2025,1Q,1
Springfield Elementary,11:00am - 12:00pm,10/02/2024,Major Violation,,Assault,Classroom,17,W,W,M,0,F,A16741181BZD,2024-2025,1Q,0
Springfield Elementary,11:00am - 12:00pm,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,17,W,W,M,0,F,A16741181BZD,2024-2025,1Q,1
Hill Valley High School,2:00pm -3:00pm,09/03/2024,Major Violation,,Continued Misconduct,Playground,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0
Hill Valley High School,2:00pm -3:00pm,08/15/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0
Hill Valley High School,11:00am - 12:00pm,08/16/2024,Major Violation,,Continued Misconduct,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0
Hill Valley High School,11:00am - 12:00pm,08/21/2024,Major Violation,,Continued Misconduct,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,0
Hill Valley High School,Unknown,08/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,1
Hill Valley High School,8:00am - 9:00am,08/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,2
Hill Valley High School,11:00am - 12:00pm,08/23/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,3
Hill Valley High School,10:00am-11:00am,09/05/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,1Q,3
Hill Valley High School,12:00pm - 1:00pm,10/04/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3
Hill Valley High School,2:00pm -3:00pm,09/26/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3
Hill Valley High School,After School,11/04/2024,Major Violation,,Continued Misconduct,Bus,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3
Hill Valley High School,2:00pm -3:00pm,11/13/2024,Major Violation,,Continued Misconduct,Playground,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,3
Hill Valley High School,12:00pm - 1:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,4
Hill Valley High School,12:00pm - 1:00pm,11/22/2024,Major Violation,,Assault,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,4
Hill Valley High School,11:00am - 12:00pm,12/13/2024,Major Violation,,Continued Misconduct,Cafeteria,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0
Hill Valley High School,11:00am - 12:00pm,12/19/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0
Hill Valley High School,9:00am - 10:00am,12/19/2024,Major Violation,,Continued Misconduct,Classroom,5,W,W,M,3,F,A14434376BZD,2024-2025,2Q,0
Bayside,12:00pm - 1:00pm,11/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,2,F,A15856496BZD,2024-2025,2Q,1
Shermer High School,8:00am - 9:00am,04/08/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,W,W,M,9,F,A12967373BZD,2023-2024,4Q,1
Shermer High School,1:00pm - 2:00pm,04/30/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,W,W,M,9,F,A12967373BZD,2023-2024,4Q,2
Hill Valley High School,9:00am - 10:00am,09/10/2024,Minor Violation (5 times in the same quarter),Other,,Gym,5,W,W,M,0,P,A16001534BZD,2024-2025,1Q,1
Hill Valley High School,8:00am - 9:00am,10/29/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5,W,W,M,0,F,A16327700BZD,2024-2025,2Q,1
Hill Valley High School,8:00am - 9:00am,11/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,5,W,W,M,0,F,A16327700BZD,2024-2025,2Q,2
Hill Valley High School,2:00pm -3:00pm,11/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Media Center,5,W,W,M,0,F,A16327700BZD,2024-2025,2Q,3
Hill Valley High School,10:00am-11:00am,11/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,5,W,W,F,4,F,A14785055BZD,2024-2025,2Q,1
Springfield Elementary,11:00am - 12:00pm,04/12/2024,Minor Violation (5 times in the same quarter),Other,,Lobby/Commons,17,W,W,M,0,F,A15788420BZD,2023-2024,4Q,1
Shermer High School,12:00pm - 1:00pm,11/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A13746125BZD,2024-2025,2Q,1
Shermer High School,12:00pm - 1:00pm,11/13/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A13746125BZD,2024-2025,2Q,2
Shermer High School,12:00pm - 1:00pm,12/10/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,105,B,"B,W",M,7,F,A13746125BZD,2024-2025,2Q,3
Shermer High School,11:00am - 12:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,Gym,105,B,"B,W",M,7,F,A13746125BZD,2024-2025,3Q,1
Rydell High School,1:00pm - 2:00pm,09/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,0,P,A16812350BZD,2024-2025,1Q,1
Rydell High School,9:00am - 10:00am,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,0,P,A16812350BZD,2024-2025,1Q,2
Rydell High School,9:00am - 10:00am,09/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,0,P,A16812350BZD,2024-2025,1Q,3
Rydell High School,9:00am - 10:00am,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,35,W,W,F,0,P,A16812350BZD,2024-2025,1Q,4
Shermer High School,1:00pm - 2:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Hallway,105,W,W,M,10,P,A12732407BZD,2024-2025,1Q,1
Springfield Elementary,10:00am-11:00am,04/08/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17,W,W,M,1,F,A14377289BZD,2023-2024,4Q,1
Springfield Elementary,2:00pm -3:00pm,04/05/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Classroom,17,W,W,M,1,F,A14377289BZD,2023-2024,4Q,2
Bayside,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,2,P,A14377289BZD,2024-2025,2Q,1
Bayside,12:00pm - 1:00pm,11/13/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,M,2,P,A14377289BZD,2024-2025,2Q,1
Bayside,1:00pm - 2:00pm,12/12/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,P,A14377289BZD,2024-2025,2Q,2
Springfield Elementary,1:00pm - 2:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Other,,Office/Guidance Office,17,W,W,M,0,P,A16438619BZD,2024-2025,3Q,1
Springfield Elementary,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Other,,Bathroom,17,B,B,M,0,F,A16741145BZD,2024-2025,1Q,1
Bayside,10:00am-11:00am,08/16/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,1Q,1
Bayside,1:00pm - 2:00pm,09/06/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,1Q,2
Bayside,8:00am - 9:00am,10/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,2Q,1
Bayside,11:00am - 12:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,2Q,2
Bayside,2:00pm -3:00pm,11/19/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,2Q,3
Bayside,2:00pm -3:00pm,11/19/2024,Major Violation,,Continued Misconduct,Classroom,15,W,W,M,4,P,A15142049BZD,2024-2025,2Q,3
Shermer High School,12:00pm - 1:00pm,02/04/2025,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,105,W,W,M,7,F,A13631453BZD,2024-2025,3Q,1
Shermer High School,10:00am-11:00am,02/05/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,105,W,W,M,7,F,A13631453BZD,2024-2025,3Q,2
Shermer High School,1:00pm - 2:00pm,02/06/2025,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",Classroom,105,W,W,M,7,F,A13631453BZD,2024-2025,3Q,2
Rydell High School,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,35,A,"A,W",F,1,F,A15877265BZD,2024-2025,1Q,1
Hill Valley High School,After School,12/17/2024,Minor Violation (5 times in the same quarter),Other,,Bus Area/Loading Area,5,W,W,M,2,F,A15403370BZD,2024-2025,2Q,1
Bayside,1:00pm - 2:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Gym,15,W,W,M,4,P,A15063014BZD,2024-2025,1Q,1
Bayside,8:00am - 9:00am,10/03/2024,Minor Violation (5 times in the same quarter),Insubordination,,Classroom,15,W,W,M,4,F,A14365835BZD,2024-2025,1Q,1
Bayside,8:00am - 9:00am,12/17/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,M,4,F,A14365835BZD,2024-2025,2Q,1
Bayside,1:00pm - 2:00pm,01/28/2025,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,M,4,F,A14365835BZD,2024-2025,3Q,1
Bayside,10:00am-11:00am,01/30/2025,Minor Violation (5 times in the same quarter),Other,,Media Center,15,W,W,M,4,F,A14365835BZD,2024-2025,3Q,2
Bayside,2:00pm -3:00pm,02/03/2025,Minor Violation (5 times in the same quarter),Other,,Hallway,15,W,W,M,4,F,A14365835BZD,2024-2025,3Q,3
Shermer High School,1:00pm - 2:00pm,04/23/2024,Major Violation,,"Continued Misconduct,Threats",Classroom,105,W,W,M,8,F,A12943094BZD,2023-2024,4Q,0
Shermer High School,11:00am - 12:00pm,08/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,105,W,W,M,9,F,A12943094BZD,2024-2025,1Q,1
Shermer High School,1:00pm - 2:00pm,08/26/2024,Minor Violation (5 times in the same quarter),Disruption,,Hallway,105,W,W,M,9,F,A12943094BZD,2024-2025,1Q,2
Shermer High School,After School,11/12/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,Bus Area/Loading Area,105,W,W,M,9,F,A12943094BZD,2024-2025,2Q,1
Bayside,10:00am-11:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,P,A15849578BZD,2024-2025,1Q,1
Bayside,11:00am - 12:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,2,P,A15849578BZD,2024-2025,1Q,2
Bayside,1:00pm - 2:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,F,A15849578BZD,2024-2025,1Q,3
Bayside,2:00pm -3:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,P,A15849578BZD,2024-2025,2Q,1
Bayside,11:00am - 12:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,Cafeteria,15,W,W,M,2,P,A15849578BZD,2024-2025,2Q,2
Bayside,1:00pm - 2:00pm,12/11/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,2,P,A15849578BZD,2024-2025,2Q,3
Bayside,11:00am - 12:00pm,12/11/2024,Major Violation,,Exceeded minor maximum count,Classroom,15,W,W,M,2,P,A15849578BZD,2024-2025,2Q,3
Bayside,12:00pm - 1:00pm,09/12/2024,Major Violation,,Assault,Hallway,15,W,W,M,4,F,A15597938BZD,2024-2025,1Q,0
Bayside,2:00pm -3:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,Bus Area/Loading Area,15,W,W,M,4,F,A15597938BZD,2024-2025,1Q,1
Bayside,2:00pm -3:00pm,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,M,4,F,A15597938BZD,2024-2025,1Q,2
Bayside,9:00am - 10:00am,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15597938BZD,2024-2025,1Q,3
Bayside,12:00pm - 1:00pm,11/15/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,F,A15597938BZD,2024-2025,2Q,1
Bayside,2:00pm -3:00pm,11/20/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,15,W,W,M,4,F,A15597938BZD,2024-2025,2Q,2
Bayside,1:00pm - 2:00pm,11/14/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,Classroom,15,W,W,M,4,F,A15597938BZD,2024-2025,2Q,3
Bayside,2:00pm -3:00pm,01/23/2025,Minor Violation (5 times in the same quarter),Disruption,,Classroom,15,W,W,M,4,F,A15597938BZD,2024-2025,3Q,1
Bayside,10:00am-11:00am,02/04/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Playground,15,W,W,M,4,F,A15597938BZD,2024-2025,3Q,2
Bayside,12:00pm - 1:00pm,02/05/2025,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Cafeteria,15,W,W,M,4,F,A15597938BZD,2024-2025,3Q,3
Bayside,11:00am - 12:00pm,08/21/2024,Minor Violation (5 times in the same quarter),Other,,Cafeteria,15,W,W,F,2,F,A15470498BZD,2024-2025,1Q,1
Bayside,1:00pm - 2:00pm,12/17/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,Classroom,15,W,W,F,2,F,A15470498BZD,2024-2025,2Q,1
Hill Valley High School,12:00pm - 1:00pm,12/13/2024,Major Violation,,Fighting,Playground,5,W,W,M,1,P,A16327616BZD,2024-2025,2Q,0
Springfield Elementary,1:00pm - 2:00pm,04/16/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,Classroom,17,W,W,F,0,P,A15403373BZD,2023-2024,4Q,1
Springfield Elementary,12:00pm - 1:00pm,04/25/2024,Minor Violation (5 times in the same quarter),Other,,Hallway,17,W,W,F,0,P,A15403373BZD,2023-2024,4Q,1
