Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,12:00pm - 1:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,10:00am-11:00am,09/20/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15437579BZD
Shermer High School,9:00am - 10:00am,09/24/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,11,F,A12761942BZD
Rydell High School,12:00pm - 1:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A14699717BZD
Rydell High School,12:00pm - 1:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,P,A16689959BZD
Shermer High School,8:00am - 9:00am,09/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,9,F,A13368554BZD
Hill Valley High School,11:00am - 12:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15850796BZD
Hill Valley High School,2:00pm -3:00pm,09/13/2024,Major Violation,,Continued Misconduct,W,M,3,F,A15635630BZD
Hill Valley High School,11:00am - 12:00pm,09/20/2024,Major Violation,,Assault,W,M,3,F,A15467438BZD
Hill Valley High School,1:00pm - 2:00pm,09/17/2024,Major Violation,,Fighting,W,M,3,F,A15467438BZD
Hill Valley High School,9:00am - 10:00am,09/18/2024,Major Violation,,Harassment,W,M,3,F,A15467438BZD
Hill Valley High School,1:00pm - 2:00pm,09/17/2024,Major Violation,,Fighting,W,M,3,F,A15467435BZD
Hill Valley High School,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,0,P,A16817774BZD
Hill Valley High School,8:00am - 9:00am,09/12/2024,Major Violation,,Continued Misconduct,W,M,1,P,A16327580BZD
Bayside,10:00am-11:00am,09/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,H,M,3,F,A16160957BZD
Bayside,8:00am - 9:00am,09/25/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15437579BZD
Shermer High School,2:00pm -3:00pm,09/24/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,5,F,A16747604BZD
Bayside,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disruption,,B,F,4,F,A14517131BZD
Rydell High School,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15125486BZD
Bayside,1:00pm - 2:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15470471BZD
Shermer High School,8:00am - 9:00am,09/25/2024,Major Violation,,Exceeded minor maximum count,W,M,9,F,A13368554BZD
Rydell High School,Unknown,09/16/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,3,F,A15144356BZD
Rydell High School,12:00pm - 1:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Other,,W,F,3,F,A15144356BZD
Rydell High School,8:00am - 9:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,3,F,A15144356BZD
Rydell High School,11:00am - 12:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16132079BZD
Rydell High School,11:00am - 12:00pm,08/29/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16132079BZD
Bayside,12:00pm - 1:00pm,09/27/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15717014BZD
Bayside,12:00pm - 1:00pm,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Shermer High School,12:00pm - 1:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,10,F,A13292480BZD
Rydell High School,2:00pm -3:00pm,09/30/2024,Major Violation,,Continued Misconduct,W,M,4,F,A15236435BZD
Bayside,1:00pm - 2:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14991482BZD
Rydell High School,2:00pm -3:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15236435BZD
Bayside,10:00am-11:00am,09/06/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,1:00pm - 2:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15492620BZD
Bayside,10:00am-11:00am,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15849914BZD
Bayside,11:00am - 12:00pm,09/26/2024,Major Violation,,Continued Misconduct,W,M,2,F,A15659372BZD
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,3,F,A15283073BZD
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14638415BZD
Bayside,2:00pm -3:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Rydell High School,12:00pm - 1:00pm,09/26/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,P,A16565756BZD
Bayside,8:00am - 9:00am,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,9:00am - 10:00am,09/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15492620BZD
Bayside,10:00am-11:00am,10/02/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,10:00am-11:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15378911BZD
Bayside,10:00am-11:00am,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15378911BZD
Bayside,11:00am - 12:00pm,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15303116BZD
Bayside,9:00am - 10:00am,10/01/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15378911BZD
Bayside,9:00am - 10:00am,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,3,F,A14963732BZD
Bayside,12:00pm - 1:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A16413998BZD
Bayside,After School,10/02/2024,Major Violation,,Continued Misconduct,W,F,2,F,A16417805BZD
Bayside,After School,10/01/2024,Major Violation,,Continued Misconduct,W,F,4,F,A14794331BZD
Bayside,After School,10/01/2024,Major Violation,,Continued Misconduct,W,F,4,F,A15244859BZD
Springfield Elementary,12:00pm - 1:00pm,09/26/2024,Major Violation,,Assault,W,M,1,F,A15903068BZD
Springfield Elementary,11:00am - 12:00pm,09/26/2024,Major Violation,,Continued Misconduct,W,M,0,F,A16450172BZD
Springfield Elementary,10:00am-11:00am,09/30/2024,Major Violation,,Continued Misconduct,W,M,1,F,A16298168BZD
Rydell High School,1:00pm - 2:00pm,09/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16812350BZD
Rydell High School,9:00am - 10:00am,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16812350BZD
Bayside,11:00am - 12:00pm,08/29/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Rydell High School,9:00am - 10:00am,09/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16812350BZD
Bayside,11:00am - 12:00pm,09/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Bayside,11:00am - 12:00pm,09/13/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Bayside,2:00pm -3:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15277364BZD
Rydell High School,9:00am - 10:00am,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,0,P,A16812350BZD
Bayside,2:00pm -3:00pm,09/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15597938BZD
Bayside,Before School,10/03/2024,Major Violation,,"Continued Misconduct,Criminal use or modification of technology,Exceeded minor maximum count",W,F,4,F,A15142052BZD
Springfield Elementary,1:00pm - 2:00pm,10/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16060565BZD
Bayside,9:00am - 10:00am,10/03/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15717014BZD
Bayside,8:00am - 9:00am,10/03/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,4,F,A14365835BZD
Springfield Elementary,2:00pm -3:00pm,09/27/2024,Major Violation,,Continued Misconduct,W,M,1,F,A15903068BZD
Bayside,9:00am - 10:00am,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15597938BZD
Bayside,1:00pm - 2:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,After School,10/02/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A15142526BZD
Bayside,After School,10/02/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A14911667BZD
Bayside,12:00pm - 1:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14850692BZD
Bayside,12:00pm - 1:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A15244859BZD
Bayside,11:00am - 12:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15616889BZD
Bayside,2:00pm -3:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A15531776BZD
Bayside,10:00am-11:00am,10/03/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142475BZD
Bayside,After School,10/03/2024,Major Violation,,Continued Misconduct,W,F,2,F,A15849686BZD
Bayside,8:00am - 9:00am,09/26/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,2,F,A16417805BZD
Bayside,8:00am - 9:00am,10/02/2024,Major Violation,,Threats,W,M,3,F,A15223601BZD
Bayside,8:00am - 9:00am,10/02/2024,Major Violation,,Threats,W,M,3,F,A15144395BZD
Bayside,8:00am - 9:00am,10/02/2024,Major Violation,,Threats,W,M,3,F,A15144467BZD
Bayside,11:00am - 12:00pm,10/04/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15277364BZD
Bayside,8:00am - 9:00am,10/04/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A15437579BZD
Bayside,11:00am - 12:00pm,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15773864BZD
Bayside,10:00am-11:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15470477BZD
Bayside,2:00pm -3:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,9:00am - 10:00am,09/20/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,10:00am-11:00am,09/23/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,9:00am - 10:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,11:00am - 12:00pm,09/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15470477BZD
Bayside,9:00am - 10:00am,09/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,P,A15492620BZD
Bayside,10:00am-11:00am,09/26/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15849914BZD
Bayside,2:00pm -3:00pm,09/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,P,A15492620BZD
Springfield Elementary,12:00pm - 1:00pm,10/02/2024,Minor Violation (5 times in the same quarter),Other,,W,F,0,P,A15414194BZD
Springfield Elementary,11:00am - 12:00pm,10/03/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,1,F,A16350788BZD
Springfield Elementary,2:00pm -3:00pm,10/02/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,0,F,A16709366BZD
Bayside,8:00am - 9:00am,10/22/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A13369364BZD
Springfield Elementary,11:00am - 12:00pm,10/02/2024,Major Violation,,Assault,W,M,0,F,A16741181BZD
Springfield Elementary,11:00am - 12:00pm,10/02/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16741181BZD
Bayside,8:00am - 9:00am,10/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A15142049BZD
Springfield Elementary,2:00pm -3:00pm,10/21/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16214498BZD
Springfield Elementary,2:00pm -3:00pm,10/21/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16548314BZD
Bayside,2:00pm -3:00pm,10/22/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,P,A15492620BZD
Bayside,12:00pm - 1:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,2:00pm -3:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15973097BZD
Bayside,Before School,10/24/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,P,A13669343BZD
Rydell High School,11:00am - 12:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,1,P,A15125486BZD
Bayside,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A15089432BZD
Bayside,12:00pm - 1:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A16568006BZD
Bayside,12:00pm - 1:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,P,A15142526BZD
Bayside,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142526BZD
Bayside,12:00pm - 1:00pm,10/24/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A13369361BZD
Springfield Elementary,9:00am - 10:00am,10/23/2024,Minor Violation (5 times in the same quarter),Other,,H,M,0,P,A16709534BZD
Springfield Elementary,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,F,A16214498BZD
Springfield Elementary,11:00am - 12:00pm,10/24/2024,Major Violation,,Threats,W,M,1,P,A15903068BZD
Springfield Elementary,9:00am - 10:00am,10/23/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,R,A16334411BZD
Bayside,11:00am - 12:00pm,10/25/2024,Major Violation,,Continued Misconduct,W,M,4,F,A14843582BZD
Bayside,11:00am - 12:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A15142049BZD
Bayside,12:00pm - 1:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15089432BZD
Bayside,12:00pm - 1:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142076BZD
Bayside,8:00am - 9:00am,10/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,P,A15142526BZD
Bayside,8:00am - 9:00am,10/25/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,4,F,A14911667BZD
Bayside,2:00pm -3:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15849581BZD
Bayside,2:00pm -3:00pm,10/25/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15849578BZD
Bayside,11:00am - 12:00pm,10/25/2024,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,F,4,P,A15142526BZD
Bayside,9:00am - 10:00am,10/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144443BZD
Bayside,9:00am - 10:00am,10/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15303116BZD
Bayside,11:00am - 12:00pm,10/28/2024,Major Violation,,Continued Misconduct,W,M,4,F,A15089432BZD
Bayside,2:00pm -3:00pm,10/28/2024,Major Violation,,"Assault,Continued Misconduct",W,M,3,F,A14988029BZD
Bayside,2:00pm -3:00pm,10/28/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15077024BZD
Bayside,2:00pm -3:00pm,10/28/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15144407BZD
Bayside,8:00am - 9:00am,10/29/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,3,F,A14879249BZD
Bayside,9:00am - 10:00am,10/29/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,R,A14115737BZD
Bayside,9:00am - 10:00am,10/29/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14923526BZD
Shermer High School,10:00am-11:00am,10/29/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,9,F,A13368554BZD
Bayside,11:00am - 12:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15470477BZD
Bayside,1:00pm - 2:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,P,A15769634BZD
Bayside,11:00am - 12:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15849578BZD
Bayside,1:00pm - 2:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A15244859BZD
Bayside,12:00pm - 1:00pm,10/28/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14850692BZD
Bayside,12:00pm - 1:00pm,10/28/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A14011100BZD
Bayside,1:00pm - 2:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A14854088BZD
Bayside,9:00am - 10:00am,10/29/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,4,F,A13728677BZD
Bayside,8:00am - 9:00am,10/25/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A14911718BZD
Bayside,11:00am - 12:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14854088BZD
Springfield Elementary,12:00pm - 1:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,1,F,A16350794BZD
Springfield Elementary,1:00pm - 2:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16413929BZD
Bayside,11:00am - 12:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15659372BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A15553787BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142076BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,B,M,4,F,A14794355BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,R,A14781935BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A14900798BZD
Bayside,12:00pm - 1:00pm,10/30/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A13728677BZD
Bayside,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A14377289BZD
Bayside,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15727337BZD
Rydell High School,11:00am - 12:00pm,10/31/2024,Minor Violation (5 times in the same quarter),Other,,B,M,0,F,A16157912BZD
Bayside,12:00pm - 1:00pm,11/01/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,12:00pm - 1:00pm,11/01/2024,Minor Violation (5 times in the same quarter),Other,,W,M,3,F,A15465404BZD
Bayside,9:00am - 10:00am,11/01/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A15378911BZD
Bayside,8:00am - 9:00am,11/01/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,P,A15142526BZD
Rydell High School,8:00am - 9:00am,11/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,0,F,A16812362BZD
Rydell High School,11:00am - 12:00pm,11/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,1,F,A15932738BZD
Bayside,12:00pm - 1:00pm,11/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15142544BZD
Bayside,11:00am - 12:00pm,11/04/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,F,2,F,A15470465BZD
Bayside,11:00am - 12:00pm,11/04/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16417805BZD
Bayside,8:00am - 9:00am,11/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15364652BZD
Shermer High School,10:00am-11:00am,11/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,6,F,A14566694BZD
Bayside,12:00pm - 1:00pm,10/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A14609051BZD
Bayside,12:00pm - 1:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,4,F,A15244859BZD
Bayside,2:00pm -3:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,F,A15772604BZD
Bayside,2:00pm -3:00pm,10/23/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A16417805BZD
Bayside,8:00am - 9:00am,11/06/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15470441BZD
Bayside,11:00am - 12:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A15597974BZD
Bayside,8:00am - 9:00am,10/24/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A16713839BZD
Rydell High School,12:00pm - 1:00pm,11/06/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,P,A16132079BZD
Bayside,8:00am - 9:00am,11/07/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,F,A15470480BZD
Bayside,1:00pm - 2:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,2,F,A15470480BZD
Springfield Elementary,11:00am - 12:00pm,11/04/2024,Major Violation,,Threats,W,M,1,P,A15903068BZD
Springfield Elementary,2:00pm -3:00pm,11/04/2024,Major Violation,,Threats,W,M,0,F,A16214498BZD
Bayside,1:00pm - 2:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15616853BZD
Hill Valley High School,12:00pm - 1:00pm,10/04/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Rydell High School,12:00pm - 1:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16132079BZD
Hill Valley High School,2:00pm -3:00pm,09/26/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Hill Valley High School,After School,11/04/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14434376BZD
Rydell High School,11:00am - 12:00pm,11/08/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16132079BZD
Hill Valley High School,8:00am - 9:00am,10/29/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,0,F,A16327700BZD
Bayside,11:00am - 12:00pm,11/08/2024,Minor Violation (5 times in the same quarter),Other,,W,F,4,F,A14609051BZD
Rydell High School,12:00pm - 1:00pm,11/08/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,4,P,A14784248BZD
Hill Valley High School,8:00am - 9:00am,10/01/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14943248BZD
Hill Valley High School,11:00am - 12:00pm,09/30/2024,Major Violation,,Continued Misconduct,W,M,1,F,A16437914BZD
Hill Valley High School,9:00am - 10:00am,10/24/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Hill Valley High School,8:00am - 9:00am,10/23/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Hill Valley High School,12:00pm - 1:00pm,09/18/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,R,A15959621BZD
Hill Valley High School,12:00pm - 1:00pm,10/28/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Shermer High School,9:00am - 10:00am,11/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,11,P,A12692066BZD
Shermer High School,8:00am - 9:00am,11/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,9,F,A13368554BZD
Springfield Elementary,9:00am - 10:00am,10/28/2024,Major Violation,,Assault,W,M,1,P,A16030871BZD
Springfield Elementary,2:00pm -3:00pm,11/07/2024,Major Violation,,Assault,W,M,1,P,A16030871BZD
Hill Valley High School,9:00am - 10:00am,11/06/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Hill Valley High School,2:00pm -3:00pm,11/08/2024,Major Violation,,Continued Misconduct,W,F,2,R,A15959621BZD
Rydell High School,9:00am - 10:00am,11/11/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,P,A15142439BZD
Springfield Elementary,10:00am-11:00am,11/08/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,1,F,A16298192BZD
Rydell High School,10:00am-11:00am,11/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,P,A15993329BZD
Bayside,11:00am - 12:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15144407BZD
Bayside,11:00am - 12:00pm,11/07/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A15077024BZD
Bayside,8:00am - 9:00am,11/11/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,F,4,P,A15142052BZD
