Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Ethnicity,Gender,Grade_Level,LunchStatus,Student_Number
Bayside,1:00pm - 2:00pm,08/28/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14059727BZD
Bayside,8:00am - 9:00am,08/29/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15142076BZD
Shermer High School,10:00am-11:00am,08/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,H,M,9,P,A12498257BZD
Rydell High School,Before School,08/29/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,F,A15236435BZD
Rydell High School,8:00am - 9:00am,08/26/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,-1,P,A16747199BZD
Rydell High School,8:00am - 9:00am,08/27/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,-1,P,A16747199BZD
Rydell High School,8:00am - 9:00am,08/30/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,-1,P,A16747199BZD
Rydell High School,10:00am-11:00am,08/30/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,P,A15993329BZD
Bayside,10:00am-11:00am,09/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,3,F,A14988029BZD
Bayside,2:00pm -3:00pm,09/03/2024,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,W,M,4,F,A15089432BZD
Rydell High School,9:00am - 10:00am,09/03/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,-1,P,A16747199BZD
Bayside,10:00am-11:00am,08/20/2024,Major Violation,,Fighting,W,M,3,F,A15465983BZD
Bayside,10:00am-11:00am,08/09/2024,Major Violation,,Continued Misconduct,W,M,4,F,A14843549BZD
Bayside,1:00pm - 2:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A15063014BZD
Bayside,1:00pm - 2:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,2:00pm -3:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Other,,W,M,4,F,A15142076BZD
Bayside,11:00am - 12:00pm,09/04/2024,Major Violation,,"Assault,Harassment",W,F,2,F,A15973097BZD
Bayside,10:00am-11:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15849581BZD
Bayside,10:00am-11:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,P,A15849578BZD
Bayside,11:00am - 12:00pm,09/03/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470480BZD
Bayside,1:00pm - 2:00pm,09/04/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Rydell High School,9:00am - 10:00am,09/04/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,-1,P,A16747199BZD
Bayside,11:00am - 12:00pm,09/05/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,9:00am - 10:00am,09/05/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15470480BZD
Bayside,10:00am-11:00am,09/05/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15717014BZD
Bayside,1:00pm - 2:00pm,09/05/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Bayside,2:00pm -3:00pm,09/05/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,2,F,A15659372BZD
Bayside,8:00am - 9:00am,09/06/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,M,3,F,A14988029BZD
Bayside,1:00pm - 2:00pm,09/06/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A15142049BZD
Shermer High School,8:00am - 9:00am,09/09/2024,Minor Violation (5 times in the same quarter),Other,,W,F,10,F,A13292480BZD
Shermer High School,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,11,F,A12481682BZD
Shermer High School,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,11,P,A12419144BZD
Shermer High School,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,H,M,11,F,A12685229BZD
Bayside,10:00am-11:00am,09/09/2024,Major Violation,,Continued Misconduct,W,M,3,F,A14988029BZD
Rydell High School,9:00am - 10:00am,09/09/2024,Major Violation,,Exceeded minor maximum count,W,M,-1,P,A16747199BZD
Bayside,11:00am - 12:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15470480BZD
Bayside,2:00pm -3:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15470480BZD
Bayside,2:00pm -3:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,3,F,A15144467BZD
Bayside,9:00am - 10:00am,09/10/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,P,A15717014BZD
Hill Valley High School,9:00am - 10:00am,09/10/2024,Minor Violation (5 times in the same quarter),Other,,W,M,0,P,A16001534BZD
Shermer High School,8:00am - 9:00am,09/10/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,10,F,A13292480BZD
Shermer High School,11:00am - 12:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Refusal to do work,,W,F,10,F,A13292480BZD
Shermer High School,10:00am-11:00am,09/10/2024,Minor Violation (5 times in the same quarter),Insubordination,,W,M,11,F,A12481682BZD
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,1:00pm - 2:00pm,09/09/2024,Minor Violation (5 times in the same quarter),Disruption,,W,M,4,P,A14011100BZD
Shermer High School,11:00am - 12:00pm,09/10/2024,Major Violation,,Continued Misconduct,W,F,10,F,A13292480BZD
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15850814BZD
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15849686BZD
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,R,A15849737BZD
Bayside,1:00pm - 2:00pm,09/10/2024,Minor Violation (5 times in the same quarter),Other,,W,F,2,F,A15470483BZD
Bayside,8:00am - 9:00am,09/11/2024,Minor Violation (5 times in the same quarter),Other,,W,M,2,F,A14439311BZD
Hill Valley High School,11:00am - 12:00pm,08/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,P,A15236645BZD
Hill Valley High School,11:00am - 12:00pm,08/14/2024,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,W,M,3,F,A15626201BZD
Bayside,12:00pm - 1:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,F,A14850692BZD
Bayside,11:00am - 12:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,F,2,F,A15849686BZD
Rydell High School,Before School,09/11/2024,Minor Violation (5 times in the same quarter),Other,,B,F,3,R,A15145367BZD
Bayside,2:00pm -3:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,3,F,A14879249BZD
Bayside,2:00pm -3:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,3,F,A15437579BZD
Bayside,2:00pm -3:00pm,09/06/2024,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",W,M,3,F,A14988029BZD
Bayside,9:00am - 10:00am,09/11/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,4,P,A13383923BZD
Bayside,2:00pm -3:00pm,09/11/2024,Minor Violation (5 times in the same quarter),Disruption,,W,F,2,F,A15597995BZD
Bayside,9:00am - 10:00am,09/12/2024,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,W,M,2,F,A15659372BZD
